	sentence	inference	model	label
315	Facebook oversight board urged to tackle climate 'loophole'  Steyer & Podesta form group dedicated to censoring skeptics	"The writer is implying that climate change is a hoax
"	gpt2_large	misinfo
316	Facebook oversight board urged to tackle climate 'loophole'  Steyer & Podesta form group dedicated to censoring skeptics	"The writer is implying that facebook is censoring climate change deniers
"	t5_base	misinfo
317	Facebook oversight board urged to tackle climate 'loophole'  Steyer & Podesta form group dedicated to censoring skeptics	"The writer is implying that steyer & podesta form a group dedicated to censoring skeptics
"	t5_large	misinfo
318	Chinese Premier Li Keqiang had dinner in Wuhan during the epidemic.	"The writer is implying that chinese premier li keqiang had dinner in china
"	gpt2_large	misinfo
319	Chinese Premier Li Keqiang had dinner in Wuhan during the epidemic.	"The writer is implying that chinese premier li keqiang had dinner in wuhan during covid
"	t5_base	misinfo
320	Chinese Premier Li Keqiang had dinner in Wuhan during the epidemic.	"The writer is implying that chinese prime minister had dinner in wuhan
"	t5_large	misinfo
321	The enhanced community quarantine or ECQ in several regions and cities in the Philippines has been extended until 6/15/2020.	"The writer is implying that the pandemic is still serious
"	gpt2_large	misinfo
322	The enhanced community quarantine or ECQ in several regions and cities in the Philippines has been extended until 6/15/2020.	"The writer is implying that the pandemic is getting worse
"	t5_base	misinfo
323	The enhanced community quarantine or ECQ in several regions and cities in the Philippines has been extended until 6/15/2020.	"The writer is implying that the pandemic isn't ending soon
"	t5_large	misinfo
324	Claim that Indian Prime minister Modi said one crore (10 million) COVID-19 positive patients have been treated for free.	"The writer is implying that india is providing free covid treatments
"	gpt2_large	misinfo
325	Claim that Indian Prime minister Modi said one crore (10 million) COVID-19 positive patients have been treated for free.	"The writer is implying that india is treating covid patients for free
"	t5_base	misinfo
326	Claim that Indian Prime minister Modi said one crore (10 million) COVID-19 positive patients have been treated for free.	"The writer is implying that the indian prime minister cares about covid patients
"	t5_large	misinfo
327	"Wisconsin is ""clearly seeing a decline in COVID infections""."	"The writer is implying that covid is not spreading in florida
"	gpt2_large	misinfo
328	"Wisconsin is ""clearly seeing a decline in COVID infections""."	"The writer is implying that wisconsin is seeing a decline in covid infections
"	t5_base	misinfo
329	"Wisconsin is ""clearly seeing a decline in COVID infections""."	"The writer is implying that covid is decreasing in wisconsin
"	t5_large	misinfo
330	Chinese police crack down on suspected coronavirus patients.	"The writer is implying that chinese govts is cracking down on covid
"	gpt2_large	misinfo
331	Chinese police crack down on suspected coronavirus patients.	"The writer is implying that chinese police are cracking down on covid patients
"	t5_base	misinfo
332	Chinese police crack down on suspected coronavirus patients.	"The writer is implying that chinese police are cracking down on suspected covid patients
"	t5_large	misinfo
