	sentence	inference	model	label
0	Royal Academy Summer Exhibition review: Elegant show explores Brexit, environmental concerns and more	"The writer is implying that the british academy is having a summer exhibition
"	gpt2_large	real
1	Royal Academy Summer Exhibition review: Elegant show explores Brexit, environmental concerns and more	"The writer is implying that the royal academy has a show on climate change
"	t5_base	real
2	Royal Academy Summer Exhibition review: Elegant show explores Brexit, environmental concerns and more	"The writer is implying that the royal academy cares about climate change
"	t5_large	real
3	Childcare Programs	"The writer is implying that schools should not be reopened
"	gpt2_large	real
4	Childcare Programs	"The writer is implying that children are being cared for in child care facilities
"	t5_base	real
5	Childcare Programs	"The writer is implying that childcare programs need to be shut down
"	t5_large	real
6	Mental health effects of COVID-19 revealed in new study	"The writer is implying that covid affects mental health
"	gpt2_large	real
7	Mental health effects of COVID-19 revealed in new study	"The writer is implying that the pandemic is affecting mental health
"	t5_base	real
8	Mental health effects of COVID-19 revealed in new study	"The writer is implying that mental health is affected by covid-19
"	t5_large	real
9	Meet The White House's New Chief Climate Change Skeptic	"The writer is implying that the white house doesn't believe in climate change
"	gpt2_large	real
10	Meet The White House's New Chief Climate Change Skeptic	"The writer is implying that the white house has a climate change skeptic
"	t5_base	real
11	Meet The White House's New Chief Climate Change Skeptic	"The writer is implying that the white house is a climate change denier
"	t5_large	real
12	'It's no longer free to pollute': Canada imposes carbon tax on four provinces	"The writer is implying that the government is taking action to curb pollution
"	gpt2_large	real
13	'It's no longer free to pollute': Canada imposes carbon tax on four provinces	"The writer is implying that canada is imposing a carbon tax
"	t5_base	real
14	'It's no longer free to pollute': Canada imposes carbon tax on four provinces	"The writer is implying that canada imposes carbon tax on four provinces
"	t5_large	real
15	Durian rush creates thorny environmental problems in Malaysia	"The writer is implying that a country is creating problems for the environment
"	gpt2_large	real
16	Durian rush creates thorny environmental problems in Malaysia	"The writer is implying that durian rush creates environmental problems in malaysia
"	t5_base	real
17	Durian rush creates thorny environmental problems in Malaysia	"The writer is implying that durian rush is bad for the environment in malaysia
"	t5_large	real
18	Lord Michael Heseltine: 'Chilling' similarities between 1930s and current political climate	"The writer is implying that climate change is similar to the 1930s
"	gpt2_large	real
19	Lord Michael Heseltine: 'Chilling' similarities between 1930s and current political climate	"The writer is implying that heseltine thinks the political climate is similar
"	t5_base	real
20	Lord Michael Heseltine: 'Chilling' similarities between 1930s and current political climate	"The writer is implying that the political climate is similar to 1930s
"	t5_large	real
21	Earthrise: Youtubers Jack and Finn Harries join filmmaker Alice Aedy to launch new digital platform for younger generation of climate activists	"The writer is implying that younger generation cares about climate change
"	gpt2_large	real
22	Earthrise: Youtubers Jack and Finn Harries join filmmaker Alice Aedy to launch new digital platform for younger generation of climate activists	"The writer is implying that jack and fin harries join together to create platform for younger climate activists
"	t5_base	real
23	Earthrise: Youtubers Jack and Finn Harries join filmmaker Alice Aedy to launch new digital platform for younger generation of climate activists	"The writer is implying that the younger generation is more concerned about climate change
"	t5_large	real
24	This Lab Aims to Prepare the U.S. Electricity Grid for a Climate Transformation	"The writer is implying that electric grid is being prepared for climate change
"	gpt2_large	real
